entryGroupKey,pickSetId,R64:210265,R64:210266,R64:210267,R64:210268,R64:210269,R64:210270,R64:210271,R64:210272,R64:210273,R64:210274,R64:210275,R64:210276,R64:210277,R64:210278,R64:210279,R64:210280,R64:210281,R64:210282,R64:210283,R64:210284,R64:210285,R64:210286,R64:210287,R64:210288,R64:210289,R64:210290,R64:210291,R64:210292,R64:210293,R64:210294,R64:210295,R64:210296,R32:210297,R32:210298,R32:210299,R32:210300,R32:210301,R32:210302,R32:210303,R32:210304,R32:210305,R32:210306,R32:210307,R32:210308,R32:210309,R32:210310,R32:210311,R32:210312,R16:210313,R16:210314,R16:210315,R16:210316,R16:210317,R16:210318,R16:210319,R16:210320,R8:210321,R8:210322,R8:210323,R8:210324,R4:210325,R4:210326,R2:210327
50c8e173-9b4b-4cbf-a9e8-78fd695958b7,13132,1:Duke:429904,9:TCU:429905,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,10:UCF:429915,2:UConn:429918,1:Florida:429920,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,5:St. John's:429908,6:Louisville:429912,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,5:Wisconsin:429956,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,2:Houston:429934,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,3:Gonzaga:429962,1:Duke:429904,2:Houston:429934,1:Michigan:429936,1:Arizona:429952,2:Houston:429934,1:Michigan:429936,1:Michigan:429936
23511e6b-c871-436b-af25-9120463e6041,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,4:Kansas:429910,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,4:Arkansas:429958,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,2:Houston:429934,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,3:Gonzaga:429962,1:Duke:429904,2:Houston:429934,1:Michigan:429936,3:Gonzaga:429962,2:Houston:429934,1:Michigan:429936,1:Michigan:429936
f30f0c35-82eb-424b-a574-7c1e30dc9b9d,13132,1:Duke:429904,9:TCU:429905,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,10:UCF:429915,2:UConn:429918,1:Florida:429920,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,5:St. John's:429908,6:Louisville:429912,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,5:Wisconsin:429956,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,2:Houston:429934,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,2:UConn:429918,2:Houston:429934,2:Iowa State:429950,2:Purdue:429966,2:UConn:429918,2:Iowa State:429950,2:Iowa State:429950
bc21959a-3c0f-4e56-b167-930d5b1e1023,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,4:Kansas:429910,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,4:Arkansas:429958,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,2:Houston:429934,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,2:UConn:429918,2:Houston:429934,2:Iowa State:429950,1:Arizona:429952,2:UConn:429918,2:Iowa State:429950,2:Iowa State:429950
c326ee76-9c73-4dae-bd24-ea52b37f89cf,13132,1:Duke:429904,9:TCU:429905,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,10:UCF:429915,2:UConn:429918,1:Florida:429920,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,5:St. John's:429908,6:Louisville:429912,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,5:Wisconsin:429956,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,2:UConn:429918,3:Illinois:429930,1:Michigan:429936,2:Purdue:429966,3:Illinois:429930,2:Purdue:429966,3:Illinois:429930
509d5dd1-3af3-43b0-b466-83d8baf2c6ee,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,4:Kansas:429910,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,4:Arkansas:429958,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,2:UConn:429918,3:Illinois:429930,2:Iowa State:429950,1:Arizona:429952,3:Illinois:429930,2:Iowa State:429950,3:Illinois:429930
e3cd247f-7a50-40c7-b308-3fb197fa825f,13132,1:Duke:429904,9:TCU:429905,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,10:UCF:429915,2:UConn:429918,1:Florida:429920,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,7:Miami (FL):429964,2:Purdue:429966,1:Duke:429904,5:St. John's:429908,6:Louisville:429912,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,5:Wisconsin:429956,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,3:Virginia:429946,1:Arizona:429952,2:Purdue:429966,1:Duke:429904,1:Florida:429920,3:Virginia:429946,2:Purdue:429966,1:Duke:429904,2:Purdue:429966,2:Purdue:429966
690132b7-80fc-4f4d-a94f-82e4a40dafef,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,11:Texas:429959,3:Gonzaga:429962,7:Miami (FL):429964,2:Purdue:429966,1:Duke:429904,4:Kansas:429910,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,4:Nebraska:429926,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,4:Arkansas:429958,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,3:Virginia:429946,1:Arizona:429952,2:Purdue:429966,1:Duke:429904,1:Florida:429920,1:Michigan:429936,2:Purdue:429966,1:Duke:429904,2:Purdue:429966,2:Purdue:429966
d3fa22b2-aabd-408d-a85b-7a1a5afa7db8,13132,1:Duke:429904,9:TCU:429905,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,10:UCF:429915,2:UConn:429918,1:Florida:429920,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,5:Texas Tech:429940,4:Alabama:429942,11:M-OH / SMU:429943,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,5:St. John's:429908,6:Louisville:429912,2:UConn:429918,1:Florida:429920,5:Vanderbilt:429924,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,5:Wisconsin:429956,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,1:Duke:429904,1:Florida:429920,2:Iowa State:429950,2:Purdue:429966,1:Florida:429920,2:Iowa State:429950,1:Florida:429920
4d630f11-669c-4432-8562-612de9185d77,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,11:M-OH / SMU:429943,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,10:Missouri:429963,2:Purdue:429966,1:Duke:429904,4:Kansas:429910,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,5:Vanderbilt:429924,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,4:Alabama:429942,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,4:Arkansas:429958,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,2:UConn:429918,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,2:Purdue:429966,1:Duke:429904,1:Florida:429920,1:Michigan:429936,1:Arizona:429952,1:Florida:429920,1:Michigan:429936,1:Florida:429920
