Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url
Kylan Boswell,Illinois,Connecticut,29.0,0.9,"[17, 27, 34, 30, 27]","[1.1, 1.8, 2.3, 2, 1.8]",G,threes,under,0.9998,1.5,160,fanatics,0.74,1.9132,88,,,caesars 0.5 O -230; U -260 | draftkings 0.5 O -175; U NA | fanatics 1.5 O +170; U +160 | fanduel 1.5 O +205; U NA,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,Recovered from February broken hand; full minutes recently,"Minutes proj 29 ok vs last5 avg 27 (18-34 range, stable post-injury). Recent 3PM last5: 0,0,2,1,1 (avg 0.8, 4/5 under 1.5); low vol 1-5 att/gm. Proj 1.0 reasonable. Team 3PM proj 8.8<11.2 seas avg, UConn D stout (prev 2/8). No role/news risks; edge holds.",1.00,poisson_fallback,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=53510
Braylon Mullins,Connecticut,UCLA,29.0,0.95,"[33, 34, 32, 27, 37]","[3.3, 3.4, 3.2, 2.7, 3.7]",GF,threes,under,1.7579,2.5,135,fanatics,0.73,1.7196,92,,,caesars 2.5 O +154; U -209 | draftkings 2.5 O +140; U NA | fanatics 2.5 O +140; U +135 | fanduel 1.5 O -162; U NA | prophetx 2.5 O -20408; U -20408 | sleeper 2.5 O +142; U -263,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,Slightly high std dev but consistent recent usage in lineups,"Minutes stable at ~29 proj matching last5 (26-37). Recent 5 games 3PM: 1(Duke),2(MSU),2(UCLA),0(Furman),1(StJ) avg1.2 all under2.5 on 5-8 att. Tourn 5/24(21%). Season2.3 but cold streak post-Creighton6-11. No injury/role change. Team3PM proj7.7 similar season. Under edge strong vs Illinois; over needs regression unlikely in pressure.",1.76,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=58096
Zvonimir Ivisic,Illinois,Connecticut,12.0,0.85,"[21, 21, 17, 12, 12]","[1.5, 1.5, 1.2, 0.9, 0.9]",C,points,under,3.4921,9.5,-132,fanduel,0.97,1.6964,94,,,fanduel 9.5 O +220; U -132 | sleeper 2.5 O -133; U -122,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,Decline to 12 min in last two games after 17-23 earlier,"Adversarial review: Recent mins 11(IOWA),12(HOU),17(VCU),22(PENN),21(WIS) avg~16.6 but declining to 11-12 in deep tourney. Pts low:4,2,2,6,9 recent; avg~4.6<9.5. Season 6.6PPG/17.5MPG. Backup blocker role stable, twin starts. Prior vs UConn:4pts/17min. No injuries. Low team PTS proj 74. Under highly trustworthy despite min variance.",3.49,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=55760
Jake Davis,Illinois,Connecticut,14.0,0.9,"[28, 17, 14, 13, 14]","[1.9, 1.1, 0.9, 0.9, 0.9]",GF,points,under,3.1355,9.5,-135,fanduel,0.97,1.6949,92,,,caesars 3.5 O +108; U -143 | fanatics 3.5 O +110; U -145 | fanduel 9.5 O +960; U -135,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,"Season-long starter (17 straight, ~20 min avg), top KenPom lineup (20%), coach Underwood praises as leader/shooter with expanded role vs early-season (9 min vs UConn); recent tourney 13-17 aligns closer to 17 post-adjust","Minutes proj 14 aligns w/ recent tourney avg (14min: 0,3,5,1pts), down from last5 17avg/28 outlier. Prev vs UConn: 0pts/8min. Now starter w/expanded role but cold streak, low usage shooter (5.4sPPG). UConn elite D, team PTS proj 74<84avg supports suppression. Edge trustworthy despite mins variance.",3.14,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54592
Ivan Kharchenkov,Arizona,Utah St.,37.0,0.95,"[24, 29, 32, 36, 26]","[1.4, 1.7, 1.8, 2.1, 1.5]",F,threes,over,1.4276,1.5,310,fanduel,0.41,1.6666,32,,LINE_CHANGED_0.5_TO_1.5:,caesars 0.5 O -179; U NA | draftkings 0.5 O -175; U NA | fanatics 0.5 O -190; U +130 | fanduel 1.5 O +310; U NA,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,High and stable recent minutes across nearly all top lineups,"Minutes proj 37 reliable (last5:36,26,36,35,38 avg34; stable starter role,no injury/rotation issues). But 3PM fragile: last5 avg0.8(0,0,1,1,2), 2.6PA; last10 1.0. Season0.8/2.3@31-35%. Recent Elite8/S16:0 threes ea. Quote resists excess 3s for rim shots. vs MI frontcourt clash favors drives/inside. Team PTS proj78(down). Over1.5 proj1.43 overstated vs low-volume role/trends.",1.43,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59287
Alex Karaban,Connecticut,UCLA,37.0,0.95,"[40, 30, 35, 37, 38]","[2.4, 1.8, 2.1, 2.2, 2.3]",F,threes,under,1.8368,2.5,130,fanatics,0.72,1.6624,65,,,caesars 2.5 O +159; U -218 | draftkings 2.5 O +155; U NA | fanatics 2.5 O +150; U +130 | fanduel 1.5 O -138; U NA | prophetx 1.5 O -20408; U -194 | sleeper 1.5 O -185; U +109,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,N/A,"Minutes proj 37 w/ 0.95 conf matches last5 avg37 stable,no inj/changes. Recent 3PM:1(Duke),3(MSU),4(UCLA),4(Fur),1(StJ) avg2.6>1.84 proj but volatile(1-4 range),high vol7+PA@39%. Hot vs weak,cools vs top(MSU/Duke avg2/7). Illinois elite def(33% opp3P),team3PM down7.7vs8.6. Under edge fragile,recent avg/hot streak questions low proj/72% WL.",1.84,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=52265
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,points,under,13.67,19.5,-106,fanduel,0.84,1.6393,68,,LINE_CHANGED_17.5_TO_19.5:,caesars 16.5 O -128; U -105 | draftkings 17.5 O +100; U NA | fanatics 17.5 O +105; U -105 | fanduel 19.5 O +172; U -106 | prophetx 16.5 O -133; U -116 | sleeper 17.5 O -112; U -147,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes stable ~31 avg last 5 (33,34,26,28,33), no rotation/injury issues; Achilles rumor fake troll post. Recent pts:14(Pur),23(Ark),16(USU),18(LIU),21(Hou) avg 18.4, 2/5 over 19.5. Tournament breakout 19.5ppg noted in previews. Proj 13.67 conservative vs hot streak/role as lead scorer (16.1sasn). Lower team tot 78 supports under but recent fragile high output risks over in Final4 spotlight.",13.67,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Silas Demary,Connecticut,Illinois,23.0,0.85,"[31, 0, 22, 23, 23]","[2.7, 0, 1.9, 2, 2]",G,assists,under,4.0688,4.5,164,caesars,0.62,1.6276,88,,,caesars 4.5 O -115; U +164 | draftkings 4.5 O -110; U NA | fanduel 5.5 O +182; U NA | prophetx 4.5 O -20000; U -20000 | sleeper 4.5 O -143; U -115,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87","Grade 2 high ankle sprain with calf/Achilles issues, consistently played 22-23 min in last 3 tournament games despite limited practice","High recent consistency (22,23,23 min) reduces prior std dev concerns amid ongoing injury management","Minutes proj 23 reliable (22-23 last 3 tourney games despite Grade 2 ankle/calf injury, no practice reps). Recent AST: 4@UCLA(22min),3@MSU(23),2@Duke(23) avg 3.0, declining trend vs season 6apg. Proj 4.07 optimistic amid limited mobility/role shift to scoring (11pts Duke). Low team AST 15.8 vs 18.6 avg. Injury news confirms fragility but stable role; under edge strong, trustworthy.",4.07,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54416
Yaxel Lendeborg,Michigan,Arizona,34.0,0.95,"[34, 27, 32, 35, 35]","[1.9, 1.5, 1.8, 1.9, 1.9]",C,threes,under,1.7749,2.5,120,fanatics,0.73,1.611,28,,,caesars 1.5 O -162; U +121 | draftkings 1.5 O -170; U NA | fanatics 2.5 O +160; U +120 | fanduel 1.5 O -166; U NA | prophetx 1.5 O -20000; U -20000 | sleeper 1.5 O -185; U +109,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes stable 32-35mp last5, no injury issues. Recent 3PM: 3(Tenn),4(Ala),3(SLU),1(How),4(Pur) avg 3.0 >2.5 line, 4/5 overs, 5.2 3PA/g. Season 4.5 3PA up in tourney. Projection 1.77 stale, ignores hot streak (51% 3pt last5). Role as versatile 3pt-shooting big solid vs AZ frontcourt. Under unreliable due to recent overproduction & volume.",1.77,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55504
Nimari Burnett,Michigan,Arizona,23.0,0.9,"[28, 26, 24, 17, 27]","[2.1, 2, 1.8, 1.3, 2]",GF,rebounds,under,3.2261,4.5,115,fanatics,0.75,1.6045,68,,,fanatics 4.5 O +135; U +115 | sleeper 3.5 O -154; U -108,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes stable ~24 avg last5 (17-28), but variance risks lower playtime. Recent REB: 4(Purdue28m),4(Howard26),4(StL24),5(Ala17),7(Tenn26) avg4.8, 3/5 under but 2 overs@5-7 show upside risk. Season 2.7REB@19.8MPG; tourney spike to~4.8@24MPG. Proj 3.23 low vs recent rate(per36~7). AZ elite reb(#2,42+), team proj REB36.6 low favors under, guard role limits. Fragile recent prod lowers trust.",3.23,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=50096
