Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url
Elliot Cadeau,Michigan,Arizona,35.0,0.85,"[38, 26, 37, 34, 34]","[2.9, 2, 2.9, 2.6, 2.6]",G,points,over,15.1899,11.5,105,caesars,0.71,1.4592,42,,,caesars 11.5 O +105; U -138 | fanatics 10.5 O -125; U -105 | fanduel 11.5 O +102; U -132 | prophetx 11.5 O -106; U -147 | sleeper 11.5 O -114; U -145,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03","Possible allergic reaction pre-Final Four travel; evaluated and cleared, plans to play",High std dev (4.21); recent health issue but confirmed available for game,"Last 5: 10.4 PPG (8@Tenn34m,17@Ala34m,12@StL37m,5@How26m,10@Pur38m); 2/5 over 11.5. Season 10.2PPG, facilitator (7-10APG). Allergic reaction risks fatigue despite clearance & travel. Min proj 35 ok but std4.21 volatile (26 low). Team PTS79<89avg, AZ backcourt tough. Proj15+>>trends; fragile scoring in tourney.",15.19,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55027
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points_rebounds_assists,under,17.7405,22.5,-122,sleeper,0.79,1.438,78,,,sleeper 22.5 O -135; U -122,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 underrates last5 avg 23.8, but foul trouble limited recent tourney mins (18 vs Tenn w/4PF, 27 vs Ala). PRA recent:15,17,26,32,22 (avg22.4), per min ~0.95. High foul risk vs AZ physical frontcourt (Krivas/Peat); coach quotes worry. Low team proj REB/PTS supports under, but unstable mins/role fragility lowers edge trust.","9.62,6.18,1.93","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points,under,9.6227,12.5,-112,caesars,0.74,1.408,78,,,caesars 12.5 O -118; U -112 | fanduel 12.5 O -114; U -114 | prophetx 12.5 O -126; U -123 | sleeper 12.5 O -130; U -127,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 aligns w/ tournament trend (18-27, avg~23) but foul trouble risk high (4PF vs Tenn early, coach notes); recent pts 11(18m),8(27m),16(26m),19(21m),14(27m) avg13.6 but unders vs physical (Tenn,Purdue); AZ bigs (Krivas) likely limit role/min, proj 9.6 reasonable in low-team-PTS env (79 vs 89 avg). Unstable fouls lower trust but under edge solid.",9.62,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,points_rebounds,under,18.2872,21.5,-102,fanduel,0.71,1.4016,38,,,fanduel 21.5 O -125; U -102 | prophetx 22.5 O -20408; U -20408,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes stable at ~30+ (last5:33,34,26,28,33), no injury/rotation issues. But PRA last5:20,28,25,23,23 (avg23.8)>21.5 line/projection18.3. Recent hot streak (pts avg18.4, reb5.4) vs proj pts13.7/reb4.6 undervalues. Foul trouble risk (e.g. USU), low team PTS proj(78<86.6) may help under, but role as star guard firm. Edge fragile.","13.67,4.62","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points_rebounds,under,15.8076,19.5,-115,fanduel,0.75,1.3983,78,,,fanduel 19.5 O -111; U -115,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Recent 5 games PRA avg 19.2 (15,13,21,26,21), close to 19.5 line despite proj 15.8; min avg 23.8>20 proj, but foul trouble history (early fouls vs Tenn) & AZ tough frontcourt (Krivas/Peat) risk limits. Efficient per min but variance high (13-26); low team PTS/REB proj aids under. Edge ok but fragile production/min stability.","9.62,6.18","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,assists,under,1.9328,2.5,100,sleeper,0.69,1.3891,72,,,sleeper 2.5 O -167; U +100,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 stable (last5 avg~24), high conf. Recent AST volatile: tourney avg 3.75 (6,5,4,0) but foul trouble common (4PF last gme). Season 2.4APG aligns proj 1.93<2.5. Arizona bigs risk more fouls/limited opps. Team AST proj down aids under. Edge ok but fragile recent surge lowers trust.",1.93,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,points_rebounds,over,21.8898,16.5,-125,fanduel,0.77,1.3866,62,,LINE_CHANGED_18.5_TO_16.5:,fanduel 16.5 O -125; U -102 | prophetx 17.5 O -20408; U -20408,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Minutes proj 32 high vs last5 avg 27.4 (22-35 range unstable). Recent PRA:12,16,25,19,18 (avg18<21.9 proj; 3/5 over 16.5, unders vs HOU/LIU). Points avg9.2, reb8.8 recent. Tough MI frontcourt (Mara et al) matchup limits production; team REB proj37.6<<43.2 signals poor env. Deep rot w/Peat/Awaka shares load, foul risk. Edge overstated at77%.","12.12,9.77","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,points,under,13.67,16.5,-105,caesars,0.71,1.3788,68,,LINE_CHANGED_17.5_TO_16.5:,caesars 16.5 O -128; U -105 | fanatics 16.5 O -125; U -105 | fanduel 16.5 O -122; U -106 | prophetx 16.5 O -133; U -116 | sleeper 17.5 O -112; U -147,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes proj 32 aligns with stable last5 avg 30.8 (33,34,26,28,33); no injury issues, Achilles rumor fake from MI fan. Recent pts:14(PUR),23(ARK),16(USU),18(LIU),21(HOU) avg18.4>16.5, 4/5 over; tourney19avg. Role as lead guard certain, but team PTS proj78<86.6 may cap; proj13.67 conservative vs form, edge ok but hot streak risks over.",13.67,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,points,over,12.1176,9.5,102,fanduel,0.66,1.3379,42,,,caesars 9.5 O -108; U -124 | fanatics 9.5 O -110; U -120 | fanduel 9.5 O +102; U -132 | prophetx 9.5 O -109; U -143 | sleeper 9.5 O -111; U -147,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Minutes proj 32 optimistic vs last5 avg 27.4 (22-35 range), variable w/ Awaka/Peat shares. Recent pts: 6,14,11,9,6 (avg9.2), volatile; 6pts in 35min vs PUR, 6 in25 vs HOU. Only 5/10 over9.5 last10. Team PTS proj78<season86.6; MI frontcourt clash limits scoring. No injuries but fragile recent prod, high min not guaranteeing pts. Edge shaky.",12.12,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Nimari Burnett,Michigan,Arizona,23.0,0.9,"[28, 26, 24, 17, 27]","[2.1, 2, 1.8, 1.3, 2]",GF,rebounds,under,3.2261,3.5,115,fanatics,0.61,1.3118,52,,,fanatics 3.5 O -150; U +115 | sleeper 3.5 O -154; U -108,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 23 aligns w/ last5 avg 24.4 (17-28 range, some instability). REB recent last5:7(Tenn26m),5(Ala17m),4(SLu24),4(How26),4(Pur28) all >3.5, avg4.8; last10 avg3.7>season2.5. Proj3.22 stale vs hot streak. Starter role firm, no injuries. Team REB proj36.6<40.7 supports under opp but guard crash risk vs AZ. Edge fragile, lower score.",3.23,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=50096
