"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Zuby Ejiofor","STJN","F","9400","33","37.72","10.47%","4.01","Sunday"
"Labaron Philon Jr.","BAMA","G","9400","36","37.35","10.31%","3.97","Sunday"
"Braden Smith","PUR","G","9200","38","34.81","7.68%","3.78","Sunday"
"Christian Anderson","TTU","G","9100","39","41.18","22.12%","4.53","Sunday"
"Alex Condon","UF","F","8900","33","28.84","2.18%","3.24","Sunday"
"Mason Falslev","UTST","G","8700","35","30.58","3.37%","3.52","Sunday"
"Bennett Stirtz","IOWA","G","8600","39","33.11","9.71%","3.85","Sunday"
"Otega Oweh","UK","G","8500","38","33.50","9.33%","3.94","Sunday"
"Thomas Haugh","UF","F","8400","36","29.79","4.72%","3.55","Sunday"
"Ja'Kobi Gillespie","TENN","G","8400","38","33.10","9.86%","3.94","Sunday"
"Tarris Reed Jr.","UCONN","F","8200","34","40.27","28.69%","4.91","Sunday"
"Darryn Peterson","KU","G","8100","37","36.29","17.97%","4.48","Sunday"
"Nate Ament","TENN","F","8100","32","28.78","4.74%","3.55","Sunday"
"Malik Reneau","MIA","F","8000","35","31.69","9.61%","3.96","Sunday"
"Donovan Dent","UCLA","G","7900","39","30.57","7.44%","3.87","Sunday"
"Rueben Chinyelu","UF","F","7900","28","28.43","3.99%","3.60","Sunday"
"Tre Donaldson","MIA","G","7600","36","30.26","9.31%","3.98","Sunday"
"Flory Bidunga","KU","F","7500","32","29.46","8.23%","3.93","Sunday"
"Tamin Lipsey","ISU","G","7400","32","30.56","11.76%","4.13","Sunday"
"MJ Collins Jr.","UTST","G","7300","35","26.45","5.25%","3.62","Sunday"
"Amari Allen","BAMA","F","7300","32","29.76","11.04%","4.08","Sunday"
"Brayden Burries","ARIZ","G","7200","33","29.60","11.16%","4.11","Sunday"
"Trey Kaufman-Renn","PUR","F","7200","32","30.89","14.93%","4.29","Sunday"
"Aiden Sherrell","BAMA","F","7100","30","27.62","8.17%","3.89","Sunday"
"Latrell Wrightsell Jr.","BAMA","G","7100","29","22.38","1.27%","3.15","Sunday"
"Dillon Mitchell","STJN","F","7000","34","28.46","11.84%","4.07","Sunday"
"Xaivian Lee","UF","G","7000","31","23.95","3.13%","3.42","Sunday"
"Bryce Hopkins","STJN","G/F","6900","35","29.67","27.39%","4.30","Sunday"
"Jaden Bradley","ARIZ","G","6900","32","26.53","7.39%","3.85","Sunday"
"Ugonna Onyenso","UVA","F","6900","21","20.09","1.06%","2.91","Sunday"
"Melvin Council Jr.","KU","G","6800","35","24.96","6.22%","3.67","Sunday"
"Oscar Cluff","PUR","F","6800","29","28.94","13.51%","4.26","Sunday"
"Koa Peat","ARIZ","F","6700","28","24.52","5.26%","3.66","Sunday"
"Drake Allen","UTST","G","6700","33","25.58","6.68%","3.82","Sunday"
"Thijs De Ridder","UVA","F","6600","29","25.25","8.69%","3.83","Sunday"
"Milan Momcilovic","ISU","F","6500","37","30.90","23.43%","4.75","Sunday"
"Tre White","KU","G","6400","32","24.16","5.92%","3.78","Sunday"
"Mouhamed Dioubate","UK","F","6400","24","20.32","1.42%","3.18","Sunday"
"Alex Karaban","UCONN","F","6300","38","27.74","16.49%","4.40","Sunday"
"Trent Perry","UCLA","G","6300","36","24.85","8.56%","3.94","Sunday"
"Eric Dailey Jr.","UCLA","G/F","6300","32","24.53","14.44%","3.89","Sunday"
"Denzel Aberdeen","UK","G","6300","35","23.57","5.48%","3.74","Sunday"
"Ernest Udeh Jr.","MIA","F","6200","35","24.86","9.19%","4.01","Sunday"
"Braylon Mullins","UCONN","G","6100","35","26.39","12.67%","4.33","Sunday"
"Shelton Henderson","MIA","F","6100","33","22.09","4.71%","3.62","Sunday"
"Fletcher Loyer","PUR","G","6100","31","21.73","3.44%","3.56","Sunday"
"Donovan Atwell","TTU","G","6100","35","26.29","13.79%","4.31","Sunday"
