"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Tarris Reed Jr.","UCONN","F","8900","33","39.12","37.52%","4.40","Saturday"
"Yaxel Lendeborg","MICH","F","8600","36","39.26","39.67%","4.57","Saturday"
"Keaton Wagler","IL","G","8000","38","31.96","32.72%","4.00","Saturday"
"Aday Mara","MICH","F","7700","26","30.59","31.24%","3.97","Saturday"
"David Mirkovic","IL","F","7500","36","28.85","35.00%","3.85","Saturday"
"Brayden Burries","ARIZ","G","7400","34","30.24","34.52%","4.09","Saturday"
"Koa Peat","ARIZ","F","7200","33","28.42","31.94%","3.95","Saturday"
"Elliot Cadeau","MICH","G","7000","34","25.60","32.66%","3.66","Saturday"
"Alex Karaban","UCONN","F","6900","37","26.65","32.48%","3.86","Saturday"
"Motiejus Krivas","ARIZ","F","6800","30","26.29","33.72%","3.87","Saturday"
"Ivan Kharchenkov","ARIZ","F","6600","35","24.71","28.91%","3.74","Saturday"
"Morez Johnson Jr.","MICH","F","6400","27","25.60","33.94%","4.00","Saturday"
"Jaden Bradley","ARIZ","G","6300","36","27.19","49.05%","4.32","Saturday"
"Andrej Stojakovic","IL","G","5900","27","20.41","22.69%","3.46","Saturday"
"Tomislav Ivisic","IL","F","5700","27","18.85","27.01%","3.31","Saturday"
"Silas Demary Jr.","UCONN","G","5600","26","22.40","34.08%","4.00","Saturday"
"Kylan Boswell","IL","G","5400","31","18.51","21.48%","3.43","Saturday"
"Tobe Awaka","ARIZ","F","5200","16","16.38","21.68%","3.15","Saturday"
"Braylon Mullins","UCONN","G","5100","30","20.18","37.18%","3.96","Saturday"
"Nimari Burnett","MICH","G","4900","23","15.53","22.27%","3.17","Saturday"
"Trey McKenney","MICH","G","4500","24","14.13","24.01%","3.14","Saturday"
"Roddy Gayle Jr.","MICH","G","4300","21","13.68","22.76%","3.18","Saturday"
"Solo Ball","UCONN","G","4100","29","17.51","55.35%","4.27","Saturday"
"Malachi Smith","UCONN","G","3900","16","9.97","11.44%","2.56","Saturday"
"Zvonimir Ivisic","IL","F","3800","12","9.97","9.02%","2.62","Saturday"
"Ben Humrichous","IL","F","3700","16","8.92","7.94%","2.41","Saturday"
"Anthony Dell'Orso","ARIZ","G","3600","14","9.59","10.32%","2.66","Saturday"
"Jayden Ross","UCONN","F","3500","16","9.10","14.61%","2.60","Saturday"
"Jake Davis","IL","F","3400","13","6.24","2.58%","1.84","Saturday"
"Will Tschetter","MICH","F","3300","9","4.27","0.11%","1.29","Saturday"
"Eric Reibe","UCONN","F","3200","7","5.61","1.92%","1.75","Saturday"
"Jaylin Stewart","UCONN","F","3100","6","3.49","0.19%","1.13","Saturday"
"Dwayne Aristode","ARIZ","F","3000","2","1.19","0.00%","0.40","Saturday"
