"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Dontae Horne","PVA&amp;M","G","9700","39","41.74","40.75%","4.30","Wednesday"
"Boopie Miller","SMU","G","9500","38","39.49","34.42%","4.16","Wednesday"
"Peter Suder","MIAOH","G","9400","34","29.17","8.31%","3.10","Wednesday"
"Jaron Pierre Jr.","SMU","G","8000","36","31.30","34.77%","3.91","Wednesday"
"Lance Williams","PVA&amp;M","G","7800","39","22.18","7.16%","2.84","Wednesday"
"Eian Elmer","MIAOH","G/F","7600","34","26.51","37.74%","3.49","Wednesday"
"Luke Skaljac","MIAOH","G","7100","29","23.62","18.14%","3.33","Wednesday"
"B.J. Edwards","SMU","G","7100","16","15.15","0.38%","2.13","Wednesday"
"Samet Yigitoglu","SMU","F","6800","32","27.47","38.82%","4.04","Wednesday"
"Brant Byers","MIAOH","G/F","6400","32","21.47","38.01%","3.35","Wednesday"
"Jaden Toombs","SMU","F","6300","26","21.98","23.14%","3.49","Wednesday"
"Nasir Whitlock","LEH","G","6200","37","33.12","65.28%","5.34","Wednesday"
"Joshua Ingram","LEH","G","6000","37","26.98","53.49%","4.50","Wednesday"
"Antwone Woolfolk","MIAOH","F","5900","27","23.71","38.80%","4.02","Wednesday"
"Hank Alvey","LEH","F","5700","33","33.49","71.71%","5.87","Wednesday"
"Corey Washington","SMU","F","5600","29","22.07","36.57%","3.94","Wednesday"
"Cory Wells","PVA&amp;M","F","5400","38","33.39","74.42%","6.18","Wednesday"
"Corey Dunning","PVA&amp;M","F","5200","32","17.41","23.67%","3.35","Wednesday"
"Edouard Benoit","LEH","F","5200","30","22.26","48.74%","4.28","Wednesday"
"Elijah Mitchell","PVA&amp;M","G","4800","26","13.07","10.31%","2.72","Wednesday"
"Almar Atlason","MIAOH","F","4500","16","12.13","9.41%","2.70","Wednesday"
"Tai'Reon Joseph","PVA&amp;M","G","4200","14","10.33","6.58%","2.46","Wednesday"
"Jermaine O'Neal Jr.","SMU","F","4000","14","8.41","2.49%","2.10","Wednesday"
"Jalen Vazquez","LEH","G","4000","26","13.80","32.74%","3.45","Wednesday"
"Hassane Diallo","PVA&amp;M","F","3800","7","5.24","0.29%","1.38","Wednesday"
"Peter Kramer","LEH","G","3800","15","7.09","1.51%","1.87","Wednesday"
"Justin Kirby","MIAOH","G","3700","15","10.39","15.92%","2.81","Wednesday"
"Trey Perry","MIAOH","G","3500","13","9.55","16.76%","2.73","Wednesday"
"Andrew Urosevic","LEH","G","3500","15","8.47","6.80%","2.42","Wednesday"
"Sam Walters","SMU","F","3400","8","3.84","0.83%","1.13","Wednesday"
"B.J. Davis-Ray","SMU","G","3400","1","0.46","0.00%","0.13","Wednesday"
"Alfredo Addesa","LEH","F","3300","6","3.74","1.08%","1.13","Wednesday"
"Joey Madimba","PVA&amp;M","G","3100","4","3.45","0.95%","1.11","Wednesday"
"Henri Adiassa","LEH","F","3000","1","0.36","0.00%","0.12","Wednesday"
"Keeshawn Mason","PVA&amp;M","F","3000","1","0.66","0.01%","0.22","Wednesday"
"Cameron Boozer","DUKE","F","11200","33","47.09","8.32%","4.20","Thursday"
"Graham Ike","GONZ","F","10200","35","43.49","6.83%","4.26","Thursday"
"AJ Dybantsa","BYU","F","10000","39","45.82","13.99%","4.58","Thursday"
"Jeremy Fears Jr.","MSU","G","9800","34","37.11","2.74%","3.79","Thursday"
"TJ Power","PENN","F","9700","38","30.93","0.81%","3.19","Thursday"
"Dailyn Swain","TEX","G/F","9700","38","40.02","11.66%","4.13","Thursday"
"Darius Acuff Jr.","ARK","G","9500","37","41.46","7.89%","4.36","Thursday"
"Henri Veesaar","UNC","F","9400","34","37.24","9.38%","3.96","Thursday"
"Pryce Sandfort","NEB","F","9300","36","32.14","1.18%","3.46","Thursday"
"Nick Boyd","WISC","G","9200","35","37.79","7.41%","4.11","Thursday"
"Terry Anderson","HIGHP","F","9100","35","32.66","2.99%","3.59","Thursday"
"Tyler Tanner","VAND","G","9000","37","37.44","5.37%","4.16","Thursday"
"Keaton Wagler","IL","G","8900","34","35.31","4.89%","3.97","Thursday"
"Robert Wright III","BYU","G","8900","36","32.03","2.51%","3.60","Thursday"
"Yaxel Lendeborg","MICH","F","8900","29","34.54","4.93%","3.88","Thursday"
"Paulius Murauskas","STMRY","F","8800","36","34.94","5.44%","3.97","Thursday"
"Bruce Thornton","OSU","G","8600","38","35.30","6.23%","4.10","Thursday"
"Rashaun Agee","TA&amp;M","F","8600","30","32.60","2.79%","3.79","Thursday"
"Kingston Flemings","UH","G","8500","31","34.54","3.41%","4.06","Thursday"
"Trevon Brazile","ARK","F","8500","35","32.75","3.07%","3.85","Thursday"
"Bryce Harris","HOW","G","8500","35","27.86","1.70%","3.28","Thursday"
"Thomas Dowd","TROY","F","8400","39","33.07","4.14%","3.94","Thursday"
"Jaxon Kohler","MSU","F","8300","27","27.27","1.56%","3.29","Thursday"
"John Blackwell","WISC","G","8300","35","33.03","5.51%","3.98","Thursday"
"Duke Miles","VAND","G","8200","34","36.01","9.00%","4.39","Thursday"
"David Punch","TCU","F","8100","33","31.02","4.76%","3.83","Thursday"
"Ryan Conwell","UL","G","8100","36","38.78","10.77%","4.79","Thursday"
"David Mirkovic","IL","F","8000","30","30.06","4.99%","3.76","Thursday"
"Mikey Lewis","STMRY","G","8000","35","27.72","1.84%","3.46","Thursday"
"Rob Martin","HIGHP","G","7900","33","27.11","1.17%","3.43","Thursday"
"Izaiyah Nelson","USF","F","7800","26","31.64","8.30%","4.06","Thursday"
"Wes Enis","USF","G","7800","35","28.76","2.33%","3.69","Thursday"
"Cedric Taylor III","HOW","G","7800","36","28.33","6.63%","3.63","Thursday"
"Isaiah Evans","DUKE","G/F","7700","30","27.16","3.23%","3.53","Thursday"
"Meleek Thomas","ARK","G","7700","35","29.78","2.69%","3.87","Thursday"
"Joshua Dent","STMRY","G","7600","39","28.14","2.90%","3.70","Thursday"
"Billy Richmond III","ARK","G/F","7600","36","28.83","5.01%","3.79","Thursday"
"Robbie Avila","STL","F","7600","31","30.21","9.21%","3.98","Thursday"
"Nolan Winter","WISC","F","7500","28","27.52","3.37%","3.67","Thursday"
"Blue Cain","UGA","G","7500","29","26.80","1.17%","3.57","Thursday"
"Larry Johnson","MCNE","G","7400","31","30.59","7.10%","4.13","Thursday"
"Owen Aquino","HIGHP","F","7400","28","25.76","1.37%","3.48","Thursday"
"Matas Vokietaitis","TEX","F","7400","29","24.69","1.12%","3.34","Thursday"
"RJ Johnson","KENNS","G","7300","35","28.94","5.82%","3.96","Thursday"
"Aday Mara","MICH","F","7300","24","31.25","9.24%","4.28","Thursday"
"Kanon Catchings","UGA","F","7300","29","28.08","3.33%","3.85","Thursday"
"Xavier Edmonds","TCU","F","7200","27","29.85","5.95%","4.15","Thursday"
"J'Vonne Hadley","UL","G","7200","34","29.66","5.16%","4.12","Thursday"
"Morez Johnson Jr.","MICH","F","7200","26","31.11","9.63%","4.32","Thursday"
"Cam Gillus","HOW","G","7200","39","24.12","2.44%","3.35","Thursday"
"Carson Cooper","MSU","F","7100","26","24.09","1.27%","3.39","Thursday"
"Jeremiah Wilkinson","UGA","G","7100","27","26.70","2.23%","3.76","Thursday"
"Joseph Pinion","USF","G","7000","32","27.31","3.83%","3.90","Thursday"
"Isaac Johnson","HAW","F","7000","25","26.86","4.72%","3.84","Thursday"
"Damari Wheeler-Thomas","NDSU","G","6900","32","21.80","0.11%","3.16","Thursday"
"Seth Trimble","UNC","G","6900","36","27.37","8.73%","3.97","Thursday"
"Dre Bullock","HAW","G","6800","33","28.55","7.39%","4.20","Thursday"
"Frankquon Sherman","KENNS","F","6800","31","26.99","4.27%","3.97","Thursday"
"Marcus Millender","UGA","G","6800","30","25.05","1.67%","3.68","Thursday"
"John Mobley Jr.","OSU","G","6700","35","25.92","1.33%","3.87","Thursday"
"Andy Stefonowicz","NDSU","G","6700","35","20.27","0.13%","3.03","Thursday"
"Chris Cenac Jr.","UH","F","6700","26","24.64","1.28%","3.68","Thursday"
"Sam Hoiberg","NEB","G","6600","35","28.03","7.89%","4.25","Thursday"
"Cam'Ron Fletcher","HIGHP","F","6600","16","17.60","0.09%","2.67","Thursday"
"Amari McCottry","STL","G","6600","26","24.97","3.19%","3.78","Thursday"
"Devin Royal","OSU","F","6500","33","23.14","2.84%","3.56","Thursday"
"Trevian Carson","NDSU","G","6500","31","22.56","1.19%","3.47","Thursday"
"Javohn Garcia","MCNE","G","6500","33","23.28","0.74%","3.58","Thursday"
"Davis Fogle","GONZ","G","6500","23","22.25","4.34%","3.42","Thursday"
"Gavin Doty","SIENA","G","6400","38","25.34","6.51%","3.96","Thursday"
"Coen Carr","MSU","F","6400","28","21.41","1.09%","3.35","Thursday"
"Treyson Anderson","NDSU","F","6400","15","14.28","0.00%","2.23","Thursday"
"Terrence Hill Jr.","VCU","G","6400","30","26.72","6.36%","4.17","Thursday"
"Rylan Griffen","TA&amp;M","G","6400","30","22.69","1.43%","3.55","Thursday"
"Josh Omojafo","USF","G","6300","32","23.63","3.28%","3.75","Thursday"
"Noah Feddersen","NDSU","F","6300","24","18.50","0.07%","2.94","Thursday"
"Victor Valdes","TROY","F","6300","29","22.16","3.63%","3.52","Thursday"
"Kolton Mitchell","ID","G","6300","32","20.22","1.35%","3.21","Thursday"
"Tay Smith","NDSU","G","6200","24","15.21","0.00%","2.45","Thursday"
"Lazar Djokovic","VCU","F","6200","28","24.03","3.83%","3.88","Thursday"
"Joseph Tugler","UH","F","6200","24","22.19","2.70%","3.58","Thursday"
"Tyon Grant-Foster","GONZ","G","6200","23","24.00","7.71%","3.87","Thursday"
"Brendan Coyle","SIENA","F","6100","38","16.54","0.00%","2.71","Thursday"
"Brock Harding","TCU","G","6100","29","18.96","0.49%","3.11","Thursday"
"Kylan Boswell","IL","G","6100","28","23.83","1.69%","3.91","Thursday"
"Andrej Stojakovic","IL","G","6100","23","20.08","0.44%","3.29","Thursday"
"Amir Taylor","KENNS","F","6100","33","23.71","2.48%","3.89","Thursday"
"Elliot Cadeau","MICH","G","6100","27","24.55","4.89%","4.03","Thursday"
"Justice Shoats","SIENA","G","6000","39","20.13","0.73%","3.35","Thursday"
"Tyshawn Archie","MCNE","G","6000","31","25.53","10.34%","4.25","Thursday"
"Rienk Mast","NEB","F","6000","31","25.94","9.92%","4.32","Thursday"
"AJ Levine","PENN","G","6000","28","21.53","1.23%","3.59","Thursday"
"Dillan Shaw","STMRY","G/F","6000","33","21.32","3.57%","3.55","Thursday"
"Tramon Mark","TEX","G","6000","30","24.94","3.66%","4.16","Thursday"
"Emmanuel Innocenti","GONZ","F","6000","30","20.96","2.24%","3.49","Thursday"
"Ose Okojie","HOW","G","6000","31","19.93","1.68%","3.32","Thursday"
"Maliq Brown","DUKE","F","5900","25","23.99","3.30%","4.07","Thursday"
"CJ Brown","USF","G","5900","26","22.29","2.36%","3.78","Thursday"
"Jack Payne","ID","G","5900","19","10.78","0.00%","1.83","Thursday"
"Isaiah Brickner","ID","G","5900","24","17.17","1.25%","2.91","Thursday"
"Braedan Lue","KENNS","F","5900","27","21.75","1.36%","3.69","Thursday"
"Markhi Strickland","NDSU","G","5800","22","13.26","0.00%","2.29","Thursday"
"Cooper Campbell","TROY","G","5800","34","22.26","1.33%","3.84","Thursday"
"Brandon Jennings","VCU","G","5800","28","22.56","2.55%","3.89","Thursday"
"Tomislav Ivisic","IL","F","5800","25","22.41","1.29%","3.86","Thursday"
"Jackson Rasmussen","ID","F","5800","32","17.97","0.25%","3.10","Thursday"
"Jordan Pope","TEX","G","5800","33","23.85","5.56%","4.11","Thursday"
"Micah Robinson","TCU","F","5700","29","21.73","2.75%","3.81","Thursday"
"Garwey Dual","MCNE","G","5700","30","21.47","4.40%","3.77","Thursday"
"Pop Isaacs","TA&amp;M","G","5700","26","18.91","1.26%","3.32","Thursday"
"Milos Uzan","UH","G","5700","30","21.20","2.86%","3.72","Thursday"
"Somtochukwu Cyril","UGA","F","5700","23","23.33","4.70%","4.09","Thursday"
"Amare Bynum","OSU","F","5600","34","22.72","3.41%","4.06","Thursday"
"Jayden Pierre","TCU","G","5600","33","19.52","1.02%","3.49","Thursday"
"Andrew McKeever","STMRY","F","5600","18","18.25","1.16%","3.26","Thursday"
"Dion Brown","STL","G","5600","27","22.76","4.24%","4.06","Thursday"
"Francis Folefac","SIENA","F","5500","34","21.98","6.83%","4.00","Thursday"
"Marcus Hill","TA&amp;M","G","5500","22","15.71","0.38%","2.86","Thursday"
