PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1193615,"Rashaun Agee",1193615,F,TA&M,UH,"Texas A&M",ACTIVE,-10.5,143.5,66.5,31,13.34,9.51,2.68,0.84,1.98,0.81,0.79,16.02,22.85,25.53,1.6,12.19,31.57,31.57,32.37,32M,19.14,45.6,0.0001,12078230,92653,87955,1,
1481728,"Ben Humrichous",1481728,F,IL,VCU,Illinois,ACTIVE,11.5,150.5,81,21,5.65,3.76,0.65,1.52,0.27,0.46,0.48,6.3,9.41,10.06,0.94,4.41,13.68,13.68,13.83,22M,5.74,21.92,0,12078220,289247,5430,2,35
1409680,"Obinnaya Okafor",1409680,F,VCU,IL,"Virginia Commonwealth","O(Undisclosed - 01/09/2026)",-11.5,150.5,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12078220,245696,5430,3,35
1408140,"Jacari Lane",1408140,G,TA&M,UH,"Texas A&M",ACTIVE,-10.5,143.5,66.5,5,1.21,0.44,0.65,0.16,0.34,0.14,0.01,1.86,1.65,2.3,0.15,1.09,2.83,2.83,2.95,10M,0,6.35,0,12078230,247219,87955,4,35
1528470,"Jesse McCulloch",1528470,F,MSU,UL,"Michigan State",ACTIVE,5.5,151.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076410,505258,5465,5,35
1418041,"Mason Nicholson",1418041,C,VAND,NEB,Vanderbilt,ACTIVE,-1.5,146.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076340,247222,5485,6,35
1528471,"Brennan Walton",1528471,F,MSU,UL,"Michigan State",ACTIVE,5.5,151.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076410,505309,5465,7,35
1636194,"Neiko Mundey",1636194,G,TA&M,UH,TA&M,ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681529,0,8,35
1618341,"Dorian Grosber",1618341,G,HIGHP,ARK,"High Point",ACTIVE,-12.5,169.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076400,663469,5347,9,35
1528472,"Colin Walton",1528472,F,MSU,UL,"Michigan State",ACTIVE,5.5,151.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076410,505308,5465,10,35
