PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1617182,"AbdouAkim Mazou-Tahirou",1617182,F,MCNE,VAND,"McNeese State",ACTIVE,-12.5,148.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,12051190,663918,5577,1,
1193615,"Rashaun Agee",1193615,F,TA&M,STMRY,"Texas A&M",ACTIVE,-2.5,148.5,73,29.5,14.11,8.55,2.83,0.75,1.61,0.8,0.86,16.94,22.66,25.49,1.66,11.38,31.98,31.98,32.32,30M,18.12,46.52,0,12051240,92653,5525,2,35
1529061,"Liam Campbell",1529061,G,STMRY,TA&M,"Saint Mary's (CA)",ACTIVE,2.5,148.5,75.5,6,1.53,0.67,0.19,0.19,0.18,0.08,0,1.72,2.2,2.39,0.08,0.86,2.72,2.72,2.85,10M,0,6.13,0,12051240,459184,5525,3,35
1481728,"Ben Humrichous",1481728,F,IL,PENN,Illinois,ACTIVE,25.5,151.5,88.5,23,6.33,4.49,0.8,1.7,0.31,0.51,0.55,7.13,10.82,11.62,1.06,5.29,15.78,15.78,15.96,24M,7.77,24.15,0,12051180,289247,5430,4,35
1519360,"Robert Wright",1519360,G,BYU,TEX,"Brigham Young",ACTIVE,2.5,158.5,80.5,35.3,18.37,3.38,4.38,1.68,1.93,1.24,0.01,22.75,21.75,26.13,1.25,7.76,30.8,30.8,31.55,36M,19.13,43.97,0,12066290,455419,5352,5,35
1617074,"AJ Dybantsa",1617074,F,BYU,TEX,"Brigham Young",ACTIVE,2.5,158.5,80.5,39.3,28.45,7.11,4.48,1.99,3.11,1.03,0.29,32.93,35.56,40.04,1.32,11.59,44.57,44.57,46.46,40M,29.5,63.42,0,12066290,659184,5352,6,35
1409680,"Obinnaya Okafor",1409680,F,VCU,UNC,"Virginia Commonwealth","O(Undisclosed - 01/09/2026)",-2.5,150.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12051210,245696,5491,7,35
1481729,"Tanner Cuff",1481729,G,HAW,ARK,Hawaii,ACTIVE,-14.5,158.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12051100,289210,5347,8,35
1408140,"Jacari Lane",1408140,G,TA&M,STMRY,"Texas A&M",ACTIVE,-2.5,148.5,73,5,1.33,0.44,0.74,0.18,0.31,0.15,0.01,2.07,1.77,2.51,0.16,1.18,3.15,3.15,3.25,10M,0,6.99,0,12051240,247219,5525,9,35
1617075,"Aleksej Kostić",1617075,G,BYU,TEX,"Brigham Young",ACTIVE,2.5,158.5,80.5,16.3,5.72,1.2,0.74,1.55,0.86,0.35,0.03,6.46,6.92,7.66,0.38,1.94,8.55,8.55,9.44,18M,2.65,16.23,0,12066290,659210,5352,10,35
