Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
South Dakota St.,Sum,43.7,1,55.9,10,75.9,41,7.0,36,6.7,4,8.6,128,47.5,261,34.5,254,115.5,14
Colgate,Pat,40.3,2,52.1,81,69.5,251,8.7,149,9.6,212,7.4,40,62.1,7,42.0,84,108.2,78
Virginia Tech,ACC,39.2,3,52.6,64,75.1,69,9.3,221,9.9,249,7.1,30,55.2,76,41.1,104,114.9,17
Purdue,B10,38.8,4,55.8,13,70.8,203,6.9,34,8.7,103,8.6,131,58.8,28,39.2,139,121.5,2
Davidson,A10,38.5,5,54.2,34,75.4,58,7.2,46,7.5,26,7.2,33,54.8,80,41.1,102,116.8,11
Princeton,Ivy,38.4,6,55.9,11,64.0,352,8.8,166,8.0,48,6.5,10,49.2,215,44.9,35,112.4,28
UMBC,AE,38.3,7,48.9,209,78.2,12,7.4,64,8.3,69,7.9,63,49.0,227,42.6,66,103.8,162
Longwood,BSth,38.3,8,47.6,258,72.7,145,11.7,335,8.7,105,10.0,273,55.1,78,37.3,191,106.0,114
Lehigh,Pat,38.2,9,48.9,212,74.2,95,11.7,336,10.7,309,8.5,119,55.9,62,38.2,161,98.1,265
Liberty,ASun,38.1,10,54.0,36,76.7,26,8.2,111,9.9,248,8.1,79,56.3,53,49.7,6,105.0,135
UAB,CUSA,38.1,10,50.8,130,74.0,101,8.8,161,7.8,39,8.6,123,44.6,308,32.7,292,112.5,25
Jacksonville St.,ASun,38.0,12,51.0,122,68.8,279,9.0,193,9.5,205,10.2,287,53.8,101,42.7,63,105.2,133
Northern Colorado,BSky,37.9,13,55.6,16,70.6,209,6.9,35,8.4,78,8.7,142,43.5,323,45.6,28,107.8,83
Notre Dame,ACC,37.9,14,51.9,94,75.4,56,9.5,231,9.0,137,6.6,12,54.5,83,42.4,72,112.3,29
Santa Clara,WCC,37.8,15,53.5,46,76.2,34,7.8,82,7.7,31,8.5,114,52.5,139,32.1,303,112.0,31
Michigan St.,B10,37.8,16,49.6,185,75.0,72,8.9,174,9.3,182,9.5,218,60.2,18,33.7,274,111.9,33
Syracuse,ACC,37.7,17,49.8,174,73.7,106,9.0,190,9.3,165,6.1,5,52.2,147,39.2,136,115.3,15
Loyola Chicago,MVC,37.6,18,54.9,25,71.1,193,11.4,331,8.7,111,9.7,252,57.2,42,43.4,50,108.7,73
Bucknell,Pat,37.6,19,50.6,134,76.5,29,8.2,112,12.1,354,7.2,32,57.5,40,37.6,183,100.0,239
Furman,SC,37.5,20,55.0,23,75.8,45,10.1,276,8.7,108,7.0,26,62.0,8,51.6,2,113.9,21
VMI,SC,37.4,21,54.4,33,79.6,7,11.9,338,9.9,247,7.0,25,56.9,46,54.8,1,110.4,44
Gonzaga,WCC,37.4,22,61.0,1,71.2,188,6.9,30,8.2,64,7.3,34,55.7,65,35.4,236,122.2,1
South Dakota,Sum,37.3,23,50.0,162,75.4,53,6.1,7,7.0,7,8.1,87,43.6,321,33.3,283,104.5,146
Texas St.,SB,37.2,24,48.9,213,75.1,68,7.4,58,8.7,97,10.1,282,46.8,276,30.5,330,105.8,119
Oral Roberts,Sum,37.2,25,52.3,77,72.2,158,10.1,274,7.2,9,6.1,4,38.0,356,46.2,18,109.5,59
Massachusetts,A10,37.1,26,48.0,247,75.8,46,7.9,85,8.5,85,8.1,82,53.1,121,43.1,56,111.9,34
Denver,Sum,37.1,27,51.1,116,69.8,240,9.2,206,7.6,28,11.0,338,48.3,244,35.8,228,99.9,240
Winthrop,BSth,37.0,28,57.0,6,69.5,252,8.3,119,10.4,287,10.7,328,49.9,200,42.6,67,106.0,113
Duke,ACC,37.0,29,56.1,9,73.4,117,8.1,101,9.1,145,6.0,3,57.0,45,36.3,209,120.3,4
Hartford,AE,36.9,30,51.5,109,69.0,273,9.5,238,9.8,239,8.4,104,48.8,231,45.2,31,101.1,210
Detroit Mercy,Horz,36.9,31,50.1,160,77.9,14,6.8,28,9.2,153,8.7,150,47.5,262,48.9,10,105.6,125
Illinois St.,MVC,36.9,32,49.7,180,75.1,66,6.7,23,10.1,271,9.4,213,46.7,277,37.1,195,105.0,134
Utah Valley,WAC,36.8,33,48.7,216,70.9,199,8.2,115,11.0,324,11.1,341,57.7,39,30.0,338,102.8,182
Minnesota,B10,36.8,34,48.0,245,71.8,168,10.4,293,7.3,14,6.6,13,50.9,170,37.4,185,107.2,91
Vermont,AE,36.8,35,58.6,4,74.1,98,8.9,176,7.4,17,7.3,37,54.8,81,43.1,57,111.1,39
Idaho,BSky,36.7,36,47.4,268,74.7,81,10.0,263,8.4,81,10.0,274,46.3,284,37.0,197,99.3,249
Montana St.,BSky,36.6,37,52.8,62,75.1,65,8.4,127,9.3,176,9.3,198,48.5,240,36.5,203,104.5,148
Colorado,P12,36.6,38,48.0,244,75.6,51,9.8,247,10.1,266,9.6,232,54.0,92,33.5,278,106.8,100
New Hampshire,AE,36.6,39,48.1,239,67.3,316,8.3,120,8.0,49,6.8,16,48.3,241,41.2,99,103.0,175
Tulane,Amer,36.5,40,49.0,206,75.6,50,12.5,344,7.4,19,7.6,47,53.4,107,38.6,156,108.8,71
North Carolina,ACC,36.5,41,50.9,127,77.0,22,8.9,180,9.4,187,7.3,35,55.4,72,37.9,171,114.0,20
Ohio St.,B10,36.5,42,54.0,35,75.7,48,7.6,72,9.4,194,7.6,49,48.8,230,39.5,130,115.6,13
Missouri St.,MVC,36.4,43,54.6,27,79.9,4,8.1,100,7.5,27,7.9,70,42.3,334,37.4,186,113.3,23
Purdue Fort Wayne,Horz,36.4,44,51.9,91,74.4,90,9.2,213,8.9,129,10.5,307,53.1,122,43.8,43,98.6,260
USC Upstate,BSth,36.4,45,49.3,199,76.0,38,10.1,273,9.4,188,9.3,206,52.9,127,38.8,146,102.3,193
Iowa,B10,36.3,46,52.5,70,74.9,73,7.4,54,7.4,21,5.6,1,53.9,96,39.3,135,120.6,3
Clemson,ACC,36.3,47,51.2,114,73.6,110,10.5,298,8.0,50,8.4,103,55.2,75,37.8,176,110.1,51
Kennesaw St.,ASun,36.2,48,50.3,151,65.9,337,7.5,68,8.7,99,8.8,152,49.9,197,38.0,169,104.7,143
Howard,MEAC,36.2,49,47.8,251,74.7,79,9.8,249,9.9,251,10.7,331,54.3,87,40.0,120,100.3,233
Rice,CUSA,36.2,50,51.9,93,71.7,173,10.4,287,10.2,273,8.2,91,58.6,31,42.2,79,105.7,123
Villanova,BE,36.2,51,50.5,138,82.6,1,10.8,308,7.4,22,8.1,90,49.0,225,46.1,20,118.3,8
Eastern Washington,BSky,36.2,52,51.9,88,75.7,49,8.1,102,8.5,86,10.0,266,58.4,32,42.8,59,104.2,154
Saint Louis,A10,36.1,53,49.1,203,76.1,35,11.3,327,10.1,265,8.7,143,53.7,102,30.6,327,109.4,62
Dayton,A10,36.1,54,53.8,39,68.3,292,10.4,290,9.5,198,9.7,244,55.9,61,33.7,273,109.1,67
Tennessee,SEC,36.0,55,48.5,227,71.5,179,7.9,86,9.6,216,8.1,88,63.0,6,40.2,111,111.3,37
UC San Diego,BW,36.0,56,50.3,150,74.7,82,8.9,172,9.3,171,9.6,236,56.6,49,45.8,23,101.7,197
Kansas,B12,36.0,57,54.0,37,72.7,145,7.9,90,9.7,226,8.0,72,54.0,90,33.5,279,119.6,6
Illinois,B10,35.9,58,51.4,110,70.6,210,8.7,152,9.7,223,8.4,112,58.1,36,42.6,64,112.1,30
Western Kentucky,CUSA,35.9,59,52.0,84,71.6,175,8.1,105,9.5,202,8.1,86,49.3,212,36.4,205,106.7,101
North Texas,CUSA,35.8,60,49.6,183,65.5,342,8.7,147,9.2,155,9.4,215,49.0,223,42.0,82,105.8,118
Morehead St.,OVC,35.8,61,51.6,107,67.5,309,9.9,260,11.4,341,9.0,174,61.7,12,40.2,114,103.5,167
Nebraska Omaha,Sum,35.8,62,46.9,285,73.1,125,7.6,73,9.1,151,10.2,285,43.4,328,34.3,258,97.9,270
Ball St.,MAC,35.7,63,49.8,178,69.6,249,8.7,156,10.4,286,9.1,183,51.5,161,41.2,98,101.5,202
George Mason,A10,35.7,64,52.4,72,69.4,261,9.4,225,10.0,254,8.0,74,56.1,60,46.6,15,105.9,115
USC,P12,35.7,64,50.1,159,66.4,333,8.4,128,9.7,229,8.3,95,53.3,113,32.2,302,109.9,53
Towson,CAA,35.7,66,50.4,144,71.9,166,8.8,158,7.1,8,10.8,333,52.6,135,38.2,160,109.6,58
Colorado St.,MWC,35.6,67,55.7,14,77.3,20,8.7,157,8.2,65,7.0,22,53.9,93,39.6,127,112.9,24
UMKC,Sum,35.6,68,51.7,97,66.9,324,9.4,226,7.2,10,8.4,106,45.0,300,34.1,266,100.1,235
Siena,MAAC,35.6,69,46.3,310,73.3,118,8.4,129,10.6,305,7.8,57,42.1,338,34.0,268,98.1,266
Memphis,Amer,35.5,70,51.9,89,69.4,258,9.0,184,12.9,357,9.6,227,58.7,30,30.4,331,111.1,38
Saint Mary's,WCC,35.5,71,52.4,73,76.3,33,8.6,141,9.1,148,7.8,61,51.6,157,36.2,211,110.4,45
San Diego St.,MWC,35.4,72,46.7,297,69.2,271,8.0,92,8.8,120,10.5,310,49.8,201,30.8,325,103.5,166
SMU,Amer,35.4,73,50.4,148,75.0,70,12.3,343,10.1,269,7.6,44,55.3,74,42.2,80,108.9,70
Coastal Carolina,SB,35.3,74,48.1,241,69.3,264,7.7,75,11.1,333,9.4,209,50.0,194,35.5,233,102.3,190
North Dakota St.,Sum,35.3,75,51.1,117,76.0,39,6.3,9,8.1,58,8.8,158,41.2,343,36.9,199,103.1,174
UCLA,P12,35.3,76,49.5,188,74.2,94,7.7,77,6.7,5,6.6,14,50.6,179,31.5,311,116.3,12
Arizona,P12,35.3,77,57.6,5,73.9,103,7.1,41,9.5,207,8.7,148,65.0,2,35.8,227,119.1,7
Mercer,SC,35.3,78,53.1,54,77.5,17,8.7,154,10.3,278,8.0,75,56.1,56,42.4,69,105.7,122
Southeast Missouri St.,OVC,35.3,79,50.6,136,73.0,134,8.7,150,8.9,127,8.9,167,53.3,115,43.3,52,104.2,155
Akron,MAC,35.3,80,52.2,79,69.4,257,7.6,71,8.6,90,9.2,194,48.1,250,41.4,96,105.7,120
Toledo,MAC,35.2,81,53.1,55,76.0,40,11.0,314,7.3,13,7.4,41,51.1,167,31.4,314,110.2,47
Connecticut,BE,35.2,82,48.0,249,75.3,59,8.2,107,9.3,164,8.0,76,52.6,137,34.5,256,113.9,22
Florida Atlantic,CUSA,35.1,83,53.6,43,71.8,167,8.9,181,9.1,147,10.4,299,48.5,239,42.0,83,105.5,127
Southern Illinois,MVC,35.1,84,50.6,133,69.0,274,11.4,332,9.2,156,8.9,161,51.1,168,41.8,88,102.6,185
Florida Gulf Coast,ASun,35.1,85,53.8,40,68.6,282,7.2,47,9.6,219,9.3,200,55.5,70,47.1,14,104.5,145
East Tennessee St.,SC,35.1,86,51.1,118,70.4,219,7.4,52,9.0,140,7.9,71,48.3,245,42.2,76,107.7,84
Saint Peter's,MAAC,35.1,87,46.1,313,69.3,266,13.4,354,10.5,292,10.1,283,52.3,146,30.1,335,100.5,225
BYU,WCC,35.1,88,51.7,98,72.6,151,7.8,83,8.7,104,9.6,235,52.4,143,37.4,187,110.8,41
Sacramento St.,BSky,35.1,89,46.9,289,68.9,277,8.0,93,8.1,56,8.6,126,44.1,313,33.3,283,95.2,313
Portland,WCC,35.1,90,48.4,231,79.6,6,7.7,78,8.8,112,9.7,242,56.7,48,38.6,154,103.1,173
Northern Iowa,MVC,35.1,91,53.3,51,79.0,9,7.5,66,9.3,177,6.9,18,44.7,304,43.5,45,110.7,43
Southern,SWAC,35.0,92,47.5,264,70.2,229,10.6,303,9.4,186,11.1,340,52.4,142,34.1,265,96.8,289
UCF,Amer,35.0,93,47.9,250,70.3,221,10.0,264,10.4,288,8.6,135,58.8,29,43.1,55,106.6,106
Providence,BE,35.0,94,49.3,198,72.9,136,10.0,269,8.8,121,8.4,107,54.4,85,38.1,167,112.0,32
Columbia,Ivy,34.9,95,46.4,305,62.7,355,8.3,124,11.9,351,9.6,230,47.4,263,36.1,216,93.2,335
Boston University,Pat,34.9,96,51.6,108,74.6,83,10.5,297,10.5,291,7.8,60,41.1,345,37.9,172,105.5,128
Stetson,ASun,34.9,97,46.5,303,69.9,238,8.8,164,9.5,204,10.0,270,55.0,79,40.2,112,96.6,293
Long Beach St.,BW,34.9,98,47.1,275,72.5,153,7.3,51,8.4,74,9.5,226,48.3,243,31.7,307,103.5,168
Wofford,SC,34.8,99,55.5,18,77.3,19,9.1,197,9.3,167,8.4,109,51.4,162,49.1,9,106.6,108
Grand Canyon,WAC,34.8,100,48.3,233,67.2,319,9.0,186,8.5,88,10.7,324,50.1,190,39.4,132,104.8,141
Wake Forest,ACC,34.8,101,58.8,3,73.2,120,7.8,81,10.8,315,8.3,96,53.3,111,42.2,77,111.7,35
The Citadel,SC,34.8,102,51.7,101,68.0,298,9.4,228,9.6,222,7.6,45,58.9,23,49.6,7,101.2,208
VCU,A10,34.7,103,51.1,121,70.4,220,7.1,40,11.3,340,10.6,315,56.1,55,30.2,334,101.2,209
UTEP,CUSA,34.7,104,47.4,267,76.7,27,6.4,12,8.1,59,8.6,130,48.8,229,37.8,177,100.8,219
Kentucky,SEC,34.7,105,53.5,45,72.6,152,6.5,16,8.6,95,8.1,77,53.4,108,27.9,351,119.8,5
Drexel,CAA,34.7,106,52.0,86,71.1,194,6.6,21,9.7,225,6.7,15,44.7,305,35.0,242,104.5,147
Binghamton,AE,34.7,107,47.0,282,66.8,325,9.2,211,10.1,263,8.7,144,44.0,314,35.7,231,94.9,316
Oklahoma,B12,34.7,108,56.7,7,74.7,80,8.8,165,11.4,344,10.6,313,55.5,69,41.3,97,111.1,40
Tennessee St.,OVC,34.6,109,47.7,257,70.7,208,10.2,282,9.8,243,10.0,268,47.3,267,32.5,296,98.0,268
Kansas St.,B12,34.6,110,47.5,263,72.6,149,10.5,300,8.4,77,8.5,116,51.6,159,42.4,71,109.6,57
