Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url,etr_mins,etr_mins_diff,etr_proj,etr_proj_diff,rg_mins,rg_mins_diff,rg_proj,rg_proj_diff
Nate Ament,Tennessee,Virginia,20.0,0.82,"[0, 0, 32, 30, 19]","[0, 0, 1.9, 1.8, 1.1]",C,points,under,9.779,16.5,-115,fanatics,0.91,1.7033,90.0,,,caesars 15.5 O -120; U -112 | fanatics 16.5 O -115; U -115 | fanduel 15.5 O -118; U -110 | prophetx 15.5 O -161; U -122 | splash_sports 15.5 O -118; U -118,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",High right ankle sprain; minor knee soreness; limited to 18min (5 in 2H scoreless) in first-round tournament win due to leg soreness; expects to play vs Virginia but pain tolerance issues persist per coach,Adjusted down slightly to reflect recent tournament limitation despite expectation to play through; balanced with prior high usage,"Minutes proj (20) vulnerable: 18min/0pts vs Miami (tourney), fatigued after 30+min games (1-13FG/12pts Vandy). Injury limits explosiveness; coach managing load, wincing in practice, 'do more with less'. Recent pts volatile (0,12,27 post-injury), poor efficiency. Virginia pack-line D + TN 70pts proj (down from 80avg) favors low output vs 16.5 line/9.8 proj. Role stable but production fragile.",9.78,interpolated_sim,2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=58152,32.0,12.0,15.24,5.46,30.0,10.0,14.65,4.87
Nate Ament,Tennessee,Virginia,20.0,0.82,"[0, 0, 32, 30, 19]","[0, 0, 1.9, 1.8, 1.1]",C,points_rebounds,under,13.8936,22.5,-120,fanduel,0.93,1.6987,85.0,,,fanduel 22.5 O -106; U -120,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",High right ankle sprain; minor knee soreness; limited to 18min (5 in 2H scoreless) in first-round tournament win due to leg soreness; expects to play vs Virginia but pain tolerance issues persist per coach,Adjusted down slightly to reflect recent tournament limitation despite expectation to play through; balanced with prior high usage,"Adversarial review confirms injury limits: 18min, 0pts+3reb (PRA=3) vs Miami OH despite blowout. Coach: not 100% healthy, pain tolerance issues persist. Recent: 23PRA (30min poor 1-13FG vs Vandy), prior highs but fragile shooting. Minutes proj 20 reasonable but unstable (last5:0,0,32,30,19). VA elite D, low team total (70pts) favors under 22.5 vs proj 13.9. Components align w/recent trends; edge solid despite volatility.","9.78,4.11","interpolated_sim,interpolated_sim",2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=58152,32.0,12.0,21.65,7.76,30.0,10.0,20.82,6.93
Nate Ament,Tennessee,Virginia,20.0,0.82,"[0, 0, 32, 30, 19]","[0, 0, 1.9, 1.8, 1.1]",C,points_rebounds_assists,under,15.2502,23.5,-118,splash_sports,0.92,1.6905,92.0,,,splash_sports 23.5 O -118; U -118,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",High right ankle sprain; minor knee soreness; limited to 18min (5 in 2H scoreless) in first-round tournament win due to leg soreness; expects to play vs Virginia but pain tolerance issues persist per coach,Adjusted down slightly to reflect recent tournament limitation despite expectation to play through; balanced with prior high usage,"Adversarial review confirms under edge: ankle injury limits Ament (18min, 0pts/3reb/1ast=4PRA in 1st rd blowout). Coach: not 100% til offseason, wincing in practice, load managed. Recent PRA volatile (4,25,39,5,26) tied to min/injury. 20min proj apt; 15PRA reasonable vs recent low output. VA D, low team total cap upside. Unstable but under trustworthy.","9.78,4.11,1.36","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=58152,32.0,12.0,23.77,8.52,30.0,10.0,22.78,7.53
Otega Oweh,Kentucky,Iowa St.,38.0,0.95,"[38, 39, 35, 39, 43]","[3, 3.1, 2.8, 3.1, 3.4]",GF,points,under,17.3192,23.5,-115,fanatics,0.83,1.5489,72.0,,,fanatics 23.5 O -115; U -115 | sleeper 23.5 O -123; U -133 | splash_sports 23.5 O -118; U -118,"Team REB: 38.20, Team AST: 16.17, Team 3PM: 8.33, Team STL: 7.10, Team BLK: 4.33, Team TO: 10.73",,,"Minutes proj 38 solid (last5:43,39,35,39,38). Recent pts volatile:35(SCU),10(FLA),21(MIZ),23(LSU),28(FLA) avg23.4. Duds vs strong teams (10@FLA,8@SC). Hero vs SCU but ISU #2 seed top D, Jefferson out aids drives yet team total 70 low. Under vulnerable to usage spike but matchup supports proj17.3.",17.32,interpolated_sim,2026-03-22 01:45 PM CDT,https://kenpom.com/player.php?p=52919,38.0,0.0,18.21,0.89,39.0,1.0,19.22,1.9
Darryn Peterson,Kansas,St. John's,36.0,0.92,"[35, 29, 37, 28, 37]","[1.9, 1.6, 2, 1.5, 2]",GF,steals,over,1.8471,1.5,185,fanatics,0.54,1.5321,78.0,,,fanatics 1.5 O +185; U -250,"Team REB: 38.63, Team AST: 14.40, Team 3PM: 7.37, Team STL: 5.50, Team BLK: 5.87, Team TO: 10.73","History of cramping, hamstring, ankle issues but cleared for NCAA Tournament and played fully in first round","Consistent 30+ min load recently (avg 33), no recent absences","Minutes stable at ~33avg last5 (35,29,37,28,37), full 37min/2STL in 1st rd vs CalB despite cramp history (6 straight full games). Season ~1.5STL, recent 2 vs KSt/CalB. Proj 1.85 o1.5 reasonable for lead guard role/high usage, but StJ #11 def could limit TO opps (team STL~5.8). Injury risk dings edge slightly.",1.85,interpolated_sim,2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=58391,37.0,1.0,1.99,0.15,37.0,1.0,1.73,-0.12
Otega Oweh,Kentucky,Iowa St.,38.0,0.95,"[38, 39, 35, 39, 43]","[3, 3.1, 2.8, 3.1, 3.4]",GF,points_rebounds_assists,under,25.6703,32.5,-118,splash_sports,0.82,1.5197,62.0,,,sleeper 32.5 O -133; U -123 | splash_sports 32.5 O -118; U -118,"Team REB: 38.20, Team AST: 16.17, Team 3PM: 8.33, Team STL: 7.10, Team BLK: 4.33, Team TO: 10.73",,,"Minutes stable at 35-43 last 6+ games, no injury. Recent PRA volatile: 15,20,24,26,29,35,36,39,50 (last tourney), avg ~28-32 last 7-10 vs proj 25.7. Hot streak 23+ PPG/32 PRA last7 undervalued in proj (pts 17<23). Iowa St missing Jefferson aids UK scoring, but strong def. Stale proj ignores surge; under edge fragile vs hero form.","17.32,5.67,2.68","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 01:45 PM CDT,https://kenpom.com/player.php?p=52919,38.0,0.0,26.99,1.32,39.0,1.0,26.89,1.22
Nate Ament,Tennessee,Virginia,20.0,0.82,"[0, 0, 32, 30, 19]","[0, 0, 1.9, 1.8, 1.1]",C,rebounds,under,4.1146,6.5,-118,splash_sports,0.81,1.4981,82.0,,,caesars 6.5 O -105; U -129 | fanatics 6.5 O +100; U -130 | fanduel 6.5 O -108; U -122 | prophetx 6.5 O -107; U -145 | splash_sports 6.5 O -118; U -118,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",High right ankle sprain; minor knee soreness; limited to 18min (5 in 2H scoreless) in first-round tournament win due to leg soreness; expects to play vs Virginia but pain tolerance issues persist per coach,Adjusted down slightly to reflect recent tournament limitation despite expectation to play through; balanced with prior high usage,"Minutes volatile (0,0,32,30,19); recent tournament 19min/3reb due to ankle/knee soreness persisting per coach/news. Healthy reb 6-11 in 30+min, but limited role now supports 4.1 proj under 6.5. Virginia matchup lowers team REB env. Injury fragile but no worse news; edge holds despite vol.",4.11,interpolated_sim,2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=58152,32.0,12.0,6.41,2.3,30.0,10.0,6.17,2.06
Ivan Kharchenkov,Arizona,Utah St.,29.0,0.95,"[24, 29, 32, 36, 26]","[1.4, 1.7, 1.8, 2.1, 1.5]",F,rebounds,under,4.2934,5.5,110,fanatics,0.71,1.4958,88.0,,,caesars 5.5 O -145; U +109 | fanatics 5.5 O -145; U +110 | prophetx 5.5 O -200; U -124 | splash_sports 5.5 O -118; U -118,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",,,"Minutes stable recent tourney (29-36 MPG avg 32.3); last5 REB 4.0 avg (7@36min HOU close,3@32 ISU close,3@29 UCF blowout,3@24 COLO,4@20 ISU). Season 4.1/27.7MP; per36~5.3 but recent 4/5 under 5.5. UCF blowout mirrors LIU expectation: low REB. Proj 4.24 reasonable vs volatile but downward trend. No injuries/news risks; solid under edge.",4.29,interpolated_sim,2026-03-22 06:50 PM CDT,https://kenpom.com/player.php?p=59287,32.0,3.0,4.94,0.65,29.0,0.0,4.65,0.36
Ernest Udeh,Miami FL,Purdue,33.0,0.87,"[27, 37, 36, 25, 36]","[2.3, 3.1, 3.1, 2.1, 3.1]",C,points_rebounds_assists,over,19.0764,13.5,-118,splash_sports,0.8,1.4792,70.0,,,splash_sports 13.5 O -118; U -118,"Team REB: 38.20, Team AST: 16.40, Team 3PM: 6.67, Team STL: 8.00, Team BLK: 3.33, Team TO: 11.57",,"High std dev (5.11); mix of 25-37 min games, projecting sustainable central estimate","Last5 PRA:14(Mizzou 36min/5PF),7(UVA 25min),16(LOU 36/4PF),19(LOU 37),18(SMU 27); avg14.8>13.5 but volatile/low end fragile. Reb8.4<proj10.9, pts5.4<7.5. Foul trouble trend (PF2.6avg) risks vs Purdue bigs. Team low REB35.7/PTS73 limits possessions/role. Proj19 optimistic; edge erodes.","7.54,10.94,0.59","interpolated_sim,interpolated_sim,poisson_fallback",2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=53674,35.0,2.0,17.5,-1.58,34.0,1.0,16.52,-2.56
Ian Jackson,St. John's,Kansas,8.0,0.92,"[3, 19, 14, 15, 9]","[0.2, 1.6, 1.2, 1.2, 0.7]",GF,points,under,3.334,5.5,-118,splash_sports,0.8,1.4729,68.0,,,sleeper 5.5 O -128; U -128 | splash_sports 5.5 O -118; U -118,,,Sub rotation for Sellers; volatile recent minutes,"Minutes proj 8.0 underrates recent avg 12 (last5:3,19,14,15,9), volatile bench role behind Sellers. Recent pts:0,14,4,3,9 (avg6>proj3.3); <18min 5.6PPG near line. UNI blowout 9min/9pts shows over risk. Tough KS matchup may boost min/usage, fragile production lowers trust in under edge.",3.33,interpolated_sim,2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=57339,10.0,2.0,4.46,1.13,11.0,3.0,5.16,1.83
