player,team,statCategory,line,isTwoDirectionalMarket
Abass Bodija,FORD,Points,9.5,true
Acaden Lewis,VU,Points,12.5,true
Ace Buckner,CLEM,Points,9.5,true
Adam Clark,SHU,Points,14.5,true
Adrian Wooley,UL,Points,12.5,true
AJ Dybantsa,BYU,Points,25.5,true
AJ Staton-McCray,SHU,Points,12.5,true
AJ Storr,MISS,Points,17.5,true
Akira Jacobs,FORD,Points,6.5,true
Alex Karaban,UCONN,Points,12.5,true
Austin Rapp,WISC,Points,10.5,true
Austin Swartz,CRE,Points,9.5,true
Ben Bradford,CHAR,Points,13.5,true
Bennett Stirtz,IOWA,Points,21.5,true
BJ Davis,SDSU,Points,10.5,true
Blake Buchanan,ISU,Points,8.5,true
Blake Harper,CRE,Points,4.5,true
Blue Cain,UGA,Points,13.5,true
Braden Smith,PUR,Points,15.5,true
Braeden Carrington,WISC,Points,10.5,true
Brandon Hall,DUQ,Points,5.5,true
Brandon Rechsteiner,CSU,Points,11.5,true
Brayden Burries,ARIZ,Points,17.5,true
Braylon Mullins,UCONN,Points,14.5,true
Bruce Thornton,OSU,Points,18.5,true
Bryce Hopkins,STJN,Points,13.5,true
C.J. Cox,PUR,Points,9.5,true
Caleb Williams,GU,Points,7.5,true
Cam Manyawu,IOWA,Points,6.5,true
Cameron Boozer,DUKE,Points,25.5,true
Carey Booth,CSU,Points,11.5,true
Cayden Boozer,DUKE,Points,8.5,true
Cayden Charles,STBON,Points,12.5,true
Chauncey Wiggins,FSU,Points,11.5,true
Christian Anderson,TTU,Points,17.5,true
Christian Henry,FORD,Points,11.5,true
Christian Jones,GW,Points,9.5,true
Colby Garland,SJSU,Points,22.5,true
Collin Chandler,UK,Points,10.5,true
Cooper Koch,IOWA,Points,10.5,true
Corey Camper Jr.,NEV,Points,15.5,true
Dallin Hall,UVA,Points,5.5,true
Dame Sarr,DUKE,Points,8.5,true
Daniel Egbuniwe,STBON,Points,7.5,true
Darrion Williams,NCST,Points,12.5,true
Darryl Simmons II,STBON,Points,15.5,true
Darryn Peterson,KU,Points,19.5,true
Dasonte Bowen,STBON,Points,11.5,true
David Dixon,DUQ,Points,9.5,true
David Punch,TCU,Points,14.5,true
David Terrell Jr.,UNT,Points,15.5,true
Dejour Reaves,FORD,Points,18.5,true
Denzel Aberdeen,UK,Points,13.5,true
Devin Royal,OSU,Points,13.5,true
Deyton Albury,UNM,Points,12.5,true
Deywilk Tavarez,LY-IL,Points,8.5,true
Dezayne Mingo,CHAR,Points,12.5,true
Dillon Mitchell,STJN,Points,9.5,true
Donovan Atwell,TTU,Points,14.5,true
Donovan Dent,UCLA,Points,13.5,true
Dravyn Gibbs-Lawhorn,UNLV,Points,22.5,true
Duke Brennan,VU,Points,11.5,true
Elijah Fisher,SHU,Points,5.5,true
Elijah Price,NEV,Points,12.5,true
Emanuel Sharp,UH,Points,15.5,true
Eric Dailey Jr.,UCLA,Points,12.5,true
Ernest Udeh Jr.,MIA,Points,6.5,true
Felix Okpara,TENN,Points,7.5,true
Filip Borovicanin,XAV,Points,10.5,true
Fletcher Loyer,PUR,Points,13.5,true
Flory Bidunga,KU,Points,13.5,true
Frank Mitchell,STBON,Points,15.5,true
Hannes Steinbach,UW,Points,19.5,true
Henri Veesaar,UNC,Points,15.5,true
Howie Fleming Jr.,UNLV,Points,9.5,true
Ilias Kamardine,MISS,Points,11.5,true
Isaac McKneely,UL,Points,11.5,true
Isaac Traudt,CRE,Points,4.5,true
Isaiah Elohim,FAU,Points,10.5,true
Isaiah Evans,DUKE,Points,16.5,true
Ivan Kharchenkov,ARIZ,Points,10.5,true
J.P. Estrella,TENN,Points,10.5,true
J'Vonne Hadley,UL,Points,12.5,true
Ja'Kobi Gillespie,TENN,Points,18.5,true
Jaden Bradley,ARIZ,Points,15.5,true
Jaden Henley,GRACA,Points,16.5,true
Jahari Long,GMU,Points,12.5,true
Jahmere Tripp,URI,Points,13.5,true
Jake Hall,UNM,Points,17.5,true
Jake West,NW,Points,7.5,true
Jamarion Batemon,ISU,Points,8.5,true
Jamichael Davis,RU,Points,6.5,true
Jamichael Stillwell,UCF,Points,10.5,true
Jamier Jones,PROV,Points,11.5,true
Jasen Green,CRE,Points,10.5,true
Jason Edwards,PROV,Points,15.5,true
Jayden Pierre,TCU,Points,9.5,true
Jayden Reid,NW,Points,9.5,true
Jayden Stone,MIZZ,Points,11.5,true
Jaylen Petty,TTU,Points,10.5,true
Jaylin Sellers,PROV,Points,19.5,true
Je'Shawn Stevenson,UNT,Points,17.5,true
Jean Aranguren,GW,Points,9.5,true
Jeremiah Wilkinson,UGA,Points,15.5,true
Jermaine Washington,SJSU,Points,11.5,true
Jestin Porter,CLEM,Points,8.5,true
Jimmie Williams,DUQ,Points,13.5,true
John Blackwell,WISC,Points,18.5,true
John Mobley Jr.,OSU,Points,15.5,true
Jordan Burks,UCF,Points,11.5,true
Joseph Tugler,UH,Points,8.5,true
Josh Dix,CRE,Points,13.5,true
Joshua Jefferson,ISU,Points,17.5,true
Joshua Ola-Joseph,LY-IL,Points,7.5,true
Josiah Parker,FAU,Points,13.5,true
Jovan Milicevic,XAV,Points,10.5,true
Julius Halaifonua,GU,Points,6.5,true
Kanaan Carlyle,FAU,Points,15.5,true
Kanon Catchings,UGA,Points,14.5,true
Kayde Dotson,LY-IL,Points,10.5,true
Kayvaun Mulready,GU,Points,8.5,true
Kennard Davis Jr.,BYU,Points,11.5,true
KeShawn Murphy,AUB,Points,9.5,true
Kevin Overton,AUB,Points,12.5,true
Keyshawn Hall,AUB,Points,16.5,true
Kimani Hamilton,UNLV,Points,12.5,true
Kingston Flemings,UH,Points,18.5,true
Koa Peat,ARIZ,Points,12.5,true
Kory Mincy,GMU,Points,11.5,true
Kyle Jorgensen,CSU,Points,10.5,true
Lajae Jones,FSU,Points,11.5,true
LeJuan Watts,TTU,Points,9.5,true
Luka Bogavac,UNC,Points,10.5,true
Luke Haupt,UNM,Points,9.5,true
Makaih Williams,GRACA,Points,13.5,true
Malachi Palmer,VU,Points,6.5,true
Malik Dia,MISS,Points,16.5,true
Malik Mack,GU,Points,13.5,true
Malik Reneau,MIA,Points,16.5,true
Malik Thomas,UVA,Points,12.5,true
Marcus Millender,UGA,Points,11.5,true
Mark Mitchell,MIZZ,Points,18.5,true
Masai Troutman,GMU,Points,8.5,true
Melvin Bell Jr.,SJSU,Points,10.5,true
Melvin Council Jr.,KU,Points,11.5,true
Micah Robinson,TCU,Points,10.5,true
Mike Williams,SHU,Points,7.5,true
Milan Momcilovic,ISU,Points,16.5,true
Miles Byrd,SDSU,Points,11.5,true
Miles Rubin,LY-IL,Points,11.5,true
Milos Uzan,UH,Points,10.5,true
Motiejus Krivas,ARIZ,Points,10.5,true
Nana Owusu-Anane,GRACA,Points,8.5,true
Nate Ament,TENN,Points,18.5,true
Nick Boyd,WISC,Points,19.5,true
Nick Martinelli,NW,Points,22.5,true
Nik Graves,CRE,Points,11.5,true
Oscar Cluff,PUR,Points,8.5,true
Oswin Erhunmwunse,PROV,Points,6.5,true
Otega Oweh,UK,Points,20.5,true
Oziyah Sellers,STJN,Points,11.5,true
Parker Friedrichsen,DAV,Points,13.5,true
Paul McNeil Jr.,NCST,Points,10.5,true
Quadir Copeland,NCST,Points,15.5,true
Rafael Castro,GW,Points,15.5,true
Reese Dixon-Waters,SDSU,Points,15.5,true
Rikus Schulte,FORD,Points,10.5,true
Riley Allenspach,GMU,Points,16.5,true
Riley Kugel,UCF,Points,14.5,true
RJ Godfrey,CLEM,Points,12.5,true
Robert McCray V,FSU,Points,17.5,true
Robert Wright III,BYU,Points,15.5,true
Roberts Blums,DAV,Points,13.5,true
Rowan Brumbaugh,TUL,Points,20.5,true
Ryan Conwell,UL,Points,19.5,true
Ryan Mela,PROV,Points,10.5,true
Sam Brown,DAV,Points,8.5,true
Sam Lewis,UVA,Points,10.5,true
Seth Trimble,UNC,Points,13.5,true
Shelton Henderson,MIA,Points,12.5,true
Silas Demary Jr.,UCONN,Points,12.5,true
Skyy Clark,UCLA,Points,11.5,true
Solo Ball,UCONN,Points,13.5,true
Somtochukwu Cyril,UGA,Points,9.5,true
Stefan Vaaks,PROV,Points,14.5,true
Stephon Payne,SHU,Points,5.5,true
T.O. Barrett,MIZZ,Points,10.5,true
Tahaad Pettiford,AUB,Points,14.5,true
Tajuan Simpkins,SHU,Points,8.5,true
Tamin Lipsey,ISU,Points,12.5,true
Tarence Guinyard,DUQ,Points,15.5,true
Tariq Francis,RU,Points,19.5,true
Tarris Reed Jr.,UCONN,Points,16.5,true
Tavion Banks,IOWA,Points,10.5,true
Tayshawn Comer,NEV,Points,8.5,true
Themus Fulks,UCF,Points,14.5,true
Thijs De Ridder,UVA,Points,16.5,true
Tre Carroll,XAV,Points,16.5,true
Tre Donaldson,MIA,Points,17.5,true
Tre White,KU,Points,12.5,true
Trent Perry,UCLA,Points,11.5,true
Trent Pierce,MIZZ,Points,11.5,true
Trey Kaufman-Renn,PUR,Points,15.5,true
Tru Washington,MIA,Points,11.5,true
Tyler Bilodeau,UCLA,Points,17.5,true
Tyler Cochran,URI,Points,17.5,true
Tyler Perkins,VU,Points,15.5,true
Tyler Ringgold,TUL,Points,11.5,true
Tyrin Jones,UNLV,Points,11.5,true
Uriah Tenette,UNM,Points,11.5,true
Ven-Allen Lubin,NCST,Points,12.5,true
Vince Iwuchukwu,GU,Points,11.5,true
Wesley Yates III,UW,Points,13.5,true
Xavier Amos,LY-IL,Points,11.5,true
Xavier Edmonds,TCU,Points,13.5,true
Zoom Diallo,UW,Points,17.5,true
Zuby Ejiofor,STJN,Points,17.5,true
